,CERCID,RESEARCHER,SITE,TREATMENT,ORDER,INGFIRST,COREL.L,INGROUP,SUM1,COREL.S,SELF,SUM2,HONEST,SEX,AGE,AGE.C,FAMILY,CHILDREN,FORMALED,HOUSEHOLD,NATLANG,MAT1,MAT1C,MAT2,MAT2C,MAT3,MAT3C,MAT4,MAT4C,MMAT,MMATc,BGLG1ST,HIGHGOD.BG,OMNI.BG,DIEPUN,DKDIEPUN,MBG,BGR1,BGR2,BGTHINK,BGPERF,BGPERFHO,BGFREQW,BGPUNISH,BGSTEAL,BGSTLIMP,BGLYING,BGLIEIMP,BGMURDER,BGMURDIMP,BGFEEL,BGSEE,BGREWARD,BGDIE,BGSTRANGER,BGOTHERRIT,BGPERFC,HIGHGOD.LG,OMNI.LG,LGDIEPUN,MLG,LGR1,LGR2,LGTHINK,LGPERF,LGPERFHO,LGFREQW,LGPUNISH,LGSTEAL,LGSTEALIMP,LGLYING,LGLIEIMP,LGMURDER,LGMURDIMP,LGFEEL,LGSEE,LGREWARD,LGDIE,LGSTRANGER,LGOTHERRIT,LGPERFC,POLEVAL,CORELEMO,INGREMO,OUTGREMO,CORELSIM,BGTHINKH,BGFREQWH,BGSTEALH,BGLYINGH,BGMURDERH,BGREWARDH,LGTHINKH,LGFREQWH,LGSTEALH,LGLYINGH,LGMURDERH,LGREWARDH,POLEVALH,CORELEMOH,INGREMOH,OUTGREMOH,EMOC,EMOI,EMOO,PARTCR1,PARTCR2,PARTDR
412,CERC411,Cohen,Marajo,0,12,1,15,15,30,14,16,30,0,1,22,-15.4,1,1,11,4,4,1,1,1,0,1,-1,0,-2,0.75,-0.5,1,0.75,1,0.5,0,2,1,1,4,1,4,3,1,2,2,2,2,2,2,1,1,4,0,1,1,1,0.75,1,0.5,1,1,1,2,0,NA,2,1,1,1,1,1,1,1,1,1,4,0,1,1,1,NA,1,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,3,4
413,CERC412,Cohen,Marajo,1,21,0,17,13,30,16,14,30,0,1,48,10.6,1,6,NA,9,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2.33,1,1,4,1,3,4,1,0,4,0,0,4,3,1,1,4,1,0,1,1,1,1,1,3,1,1,4,1,4,4,1,4,3,4,3,4,3,1,1,4,1,0,0,1,-1,3,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,1,3,4
414,CERC413,Cohen,Marajo,1,12,1,10,20,30,17,13,30,0,1,28,-9.4,NA,2,9,4,4,0,2,0,-1,0,0,0,0,0,0.25,1,1,1,1,0,3,1,1,4,1,4,4,1,1,4,3,3,4,2,1,1,4,1,1,0,0,0.75,1,0.5,2.67,1,1,0,0,NA,3,1,2,2,3,3,4,3,1,1,4,0,1,0,0,0,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,3,4
415,CERC414,Cohen,Marajo,0,12,1,13,17,30,11,19,30,1,1,23,-14.4,1,2,7,7,4,1,2,0,-1,0,-1,0,-1,0.25,-0.25,1,0.75,1,0.5,0,3,1,1,4,0,NA,0,1,3,3,4,3,4,3,1,1,4,0,1,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,0,3,4
416,CERC415,Cohen,Marajo,0,12,1,12,18,30,17,13,30,0,1,37,-0.4,1,0,NA,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1,1,4,1,4,4,1,1,3,3,3,3,3,1,1,4,NA,1,1,1,NA,NA,NA,NA,NA,NA,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,1,NA,4
417,CERC416,Cohen,Marajo,0,12,1,16,14,30,10,20,30,0,1,22,-15.4,2,1,11,3,4,1,2,1,1,1,2,0,0,0.75,1.25,1,1,1,1,0,2.33,1,1,4,1,3,3,1,1,2,4,2,1,3,1,1,4,1,1,0,0,0.75,1,0.5,2.67,1,1,4,1,3,4,1,1,3,1,2,1,3,1,1,4,0,1,0,0,-1,5,3,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,1,3,4
418,CERC417,Cohen,Marajo,1,21,0,14,16,30,16,14,30,0,1,21,-16.4,1,0,8,4,4,1,1,1,0,1,0,1,0,1,0.25,1,0.75,1,0.5,0,2,1,1,4,1,NA,4,1,4,0,0,4,0,2,1,1,4,0,1,0,0,0.33,0.5,0,1.33,1,1,4,1,3,NA,0,2,0,3,4,4,0,0,1,4,NA,1,1,1,-2,1,2,5,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5,4,2,3
419,CERC418,Cohen,Marajo,1,12,1,12,18,30,12,18,30,0,1,21,-16.4,1,0,10,5,4,1,2,1,-1,1,0,1,-2,1,-0.25,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,CERC419,Cohen,Marajo,0,21,0,16,14,30,15,15,30,0,0,21,-16.4,amaziado,1,7,4,4,1,1,1,-1,1,0,NA,-1,1,-0.25,1,1,1,1,0,2.67,1,1,4,1,2,4,1,1,3,3,2,3,3,1,1,4,1,1,0,1,0.75,1,0.5,2.33,0.75,0.75,4,1,3,4,1,3,3,2,1,4,3,1,1,3,0,1,1,1,-1,2,5,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,1,4,3,4
421,CERC420,Cohen,Marajo,1,21,0,14,16,30,13,17,30,0,0,37,-0.4,2,0,6,4,4,0,0,1,0,1,0,1,0,0.75,0,1,1,1,1,0,2,1,1,3,0,NA,2,1,4,2,1,1,2,3,1,1,4,1,1,1,1,0,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,3
422,CERC421,Cohen,Marajo,0,12,1,12,18,30,17,13,30,0,0,20,-17.4,2,1,10,5,4,1,0,1,-1,1,-1,1,-2,1,-1,1,0.75,1,0.5,0,2.33,1,1,3,1,3,3,0,4,4,4,1,4,2,1,1,4,1,1,1,1,1,1,1,2,1,1,3,1,3,4,1,4,2,4,2,4,2,1,1,4,1,1,1,1,-1,3,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,2,1,3,3
423,CERC422,Cohen,Marajo,1,21,0,11,19,30,14,16,30,0,0,31,-6.4,amaziado,3,12,5,4,0,2,1,0,1,1,0,2,0.5,1.25,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
424,CERC423,Cohen,Marajo,1,12,1,11,19,30,21,9,30,0,0,44,6.6,2,3,4,7,4,1,0,1,-2,1,0,1,0,1,-0.5,1,1,1,1,0,1.67,1,1,4,1,4,4,1,1,4,4,0,4,1,1,1,4,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,2,4,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,NA,4,3
425,CERC424,Cohen,Marajo,1,12,1,16,14,30,14,16,30,0,0,56,18.6,1,3,7,6,4,1,0,0,-1,0,-1,1,-1,0.5,-0.75,1,0.75,1,0.5,0,2.67,1,1,4,1,4,4,1,4,3,4,2,4,3,1,1,4,0,1,0,1,0,0,0,1.67,0,0,2,0,NA,4,0,0,1,4,4,0,0,0,0,0,0,0,1,1,0,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,0,3,4
426,CERC425,Cohen,Marajo,1,21,0,16,14,30,19,11,30,0,0,35,-2.4,2,1,11,4,4,1,1,1,0,1,-1,0,-2,0.75,-0.5,1,1,1,1,0,3.33,1,1,4,1,4,1,1,4,3,2,3,4,4,1,1,4,1,1,1,1,0.75,1,0.5,3,1,1,4,1,2,2,0,1,3,3,3,1,3,1,1,4,1,1,0,0,-2,5,5,1,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,4,4,4
427,CERC426,Cohen,Marajo,1,21,0,19,11,30,14,16,30,0,0,43,5.6,2,4,8,5,4,1,-1,1,-1,1,-1,1,-1,1,-1,0,1,1,1,0,3,1,1,4,1,1,1,1,3,2,4,4,4,3,1,1,4,1,1,1,1,0,0,0,0,0.25,0.25,4,1,4,4,0,1,0,0,0,0,0,0,Só se você acredita,1,0,0,0,0,0,5,5,2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,0,NA,4
428,CERC427,Cohen,Marajo,0,12,1,18,12,30,14,16,30,0,1,54,16.6,2,2,5,5,4,1,2,1,0,1,1,1,1,1,1,0,1,1,1,0,2.67,1,1,4,1,4,4,1,4,2,4,3,4,3,1,1,4,1,1,1,1,0.75,1,0.5,2,0.25,0.25,4,1,3,1,1,1,0,3,2,0,4,1,1,1,0,1,0,1,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,0,3,3
429,CERC428,Cohen,Marajo,0,12,1,10,20,30,8,22,30,0,1,40,2.6,2,0,4,2,4,0,-1,1,-2,1,-2,1,-2,0.75,-1.75,1,1,1,1,0,2,1,1,4,1,4,3,1,4,2,4,2,4,2,NA,1,4,1,1,1,1,0.75,1,0.5,2,1,1,4,1,3,4,1,4,2,4,2,4,2,1,1,4,0,1,1,1,-2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,4
430,CERC429,Cohen,Marajo,0,12,1,16,14,30,12,18,30,0,1,57,19.6,2,3,17,8,4,1,2,1,0,1,0,1,0,1,0.5,1,1,1,1,0,0.67,1,1,4,1,4,4,1,0,1,0,0,NA,1,1,1,4,1,1,1,1,1,1,1,NA,1,1,4,1,4,0,1,NA,NA,NA,NA,NA,NA,1,1,4,1,1,1,1,1,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,0,2,4
431,CERC430,Cohen,Marajo,1,21,0,10,20,30,11,19,30,0,0,22,-15.4,1,1,11,8,4,1,2,1,1,1,2,0,1,0.75,1.5,1,1,1,1,0,3,1,1,3,1,NA,4,1,4,2,3,4,4,3,1,1,4,1,1,0,0,0.75,1,0.5,0,0.75,0.75,1,0,NA,4,0,0,0,0,0,0,0,1,1,3,1,1,1,0,1,3,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,1,NA,3,4
432,CERC431,Cohen,Marajo,0,12,1,0,30,30,0,30,30,0,0,38,0.6,amaziado,6,1,9,4,1,0,1,0,1,0,0,0,0.75,0,1,0,0,0,0,2,0.25,0.25,1,0,NA,2,0,0,1,1,1,0,4,0,0,1,0,0,0,0,0.25,0,0.5,3,0.25,0.25,2,1,1,3,0,0,4,1,1,2,4,0,0,1,1,0,0,0,-1,2,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,1,1,0,0
433,CERC432,Cohen,Marajo,1,21,0,16,14,30,16,14,30,0,0,32,-5.4,1,1,12,2,4,1,1,1,-1,1,1,1,-1,1,0,0,1,1,1,0,1.67,1,1,4,1,4,4,1,4,0,4,3,4,2,1,1,4,1,1,1,1,1,1,1,2.33,1,1,1,1,1,1,1,4,2,4,2,4,3,1,1,4,1,1,1,1,0,1,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,3,NA,3
434,CERC433,Cohen,Marajo,1,12,1,16,14,30,13,17,30,0,1,21,-16.4,1,1,5,2,4,1,1,1,1,0,1,0,0,0.5,0.75,1,1,1,1,0,3,NA,NA,4,1,3,4,1,3,3,3,3,3,3,1,1,NA,1,1,1,0,0.67,1,0,NA,NA,NA,4,1,1,NA,0,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,0,0,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA
435,CERC434,Cohen,Marajo,0,21,0,16,14,30,13,17,30,0,1,21,-16.4,1,0,11,2,4,1,2,1,2,1,2,1,-1,1,1.25,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436,CERC435,Cohen,Marajo,0,12,1,14,16,30,12,18,30,0,0,44,6.6,1,1,10,3,4,1,1,1,0,1,-1,1,0,1,0,1,1,1,1,0,3.67,1,1,4,1,4,4,1,2,4,2,4,4,3,1,1,4,1,1,1,1,0.75,1,0.5,2,1,1,4,1,4,4,0,0,1,3,3,0,2,1,1,4,1,1,1,1,-2,1,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,1,3,4
437,CERC436,Purzycki,Tyva Republic,0,321,0,16,14,30,19,11,30,0,1,20,-17.4,1,0,13,4.5,3,0,1,1,1,0,2,1,2,0.5,1.5,1,0.25,0,0.5,0,2.67,0.25,0.25,2,1,2,1,1,4,2,4,3,1,3,0,0,1,0,1,1,1,0.5,0.5,0.5,1.33,0.25,0.25,3,1,1,2,1,1,1,1,1,1,2,0,1,1,0,1,1,1,1,5,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,1,0,1
438,CERC437,Purzycki,Tyva Republic,0,123,1,13,17,30,14,16,30,0,1,44,6.6,2,4,15,6,4,0,2,0,2,0,2,1,2,0.25,2,0,1,1,1,0,3,1,1,2,1,2,4,1,4,3,4,3,4,3,1,1,4,1,1,1,1,1,1,1,3,0.75,0.75,1,1,1,2,1,1,3,2,2,3,4,1,1,3,1,1,1,1,0,5,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,1,2,1
439,CERC438,Purzycki,Tyva Republic,0,231,0,13,17,30,18,12,30,0,0,41,3.6,2,2,14,4,3,0,2,0,1,0,1,1,1,0.25,1.25,0,1,1,1,0,3.67,1,1,4,1,4,4,1,4,4,4,4,1,3,1,1,4,1,1,1,1,1,1,1,4,0.25,0.25,4,1,4,3,1,1,4,4,4,4,4,1,1,1,1,1,1,1,NA,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,1,NA,3
440,CERC439,Purzycki,Tyva Republic,0,321,0,16,14,30,21,9,30,1,0,25,-12.4,2,2,16.5,4,3,0,2,0,2,0,2,0,0,0,1.5,1,1,1,1,0,2.33,1,1,3,1,2,2,1,4,2,4,1,4,4,1,1,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,4,4,1,1,4,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3
441,CERC440,Purzycki,Tyva Republic,0,321,0,13,17,30,13,17,30,0,0,27,-10.4,2,1,16,10,3,1,1,1,1,1,1,1,2,1,1.25,1,1,1,1,0,1.67,1,1,4,0,NA,2,1,4,1,3,1,4,3,1,1,4,1,1,1,1,1,1,1,1,0.25,0.25,2,NA,NA,2,1,1,NA,2,1,1,1,1,1,1,1,0,1,1,-1,5,3,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,NA,1,2
442,CERC441,Purzycki,Tyva Republic,0,123,1,10,20,30,10,20,30,0,0,53,15.6,2,5,14,4,4,0,1,0,1,1,1,1,1,0.5,1,0,1,1,1,0,3.67,1,1,0,1,4,1,1,4,4,4,3,4,4,1,1,4,1,1,1,1,1,1,1,3,1,1,0,0,NA,0,1,4,3,4,3,4,3,1,1,4,1,1,1,1,1,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,1,1
443,CERC442,Purzycki,Tyva Republic,0,123,1,19,11,30,20,10,30,0,1,46,8.6,2,2,16,3,4,0,2,0,2,0,1,1,1,0.25,1.5,1,0.75,1,0.5,0,3,1,1,4,1,4,3,1,2,3,3,2,4,4,1,1,4,0,1,1,1,0.25,0.5,0,4,1,1,2,1,1,2,0,4,4,4,4,4,4,1,0,4,0,1,1,1,1,4,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,2,1,1,3
444,CERC443,Purzycki,Tyva Republic,0,312,1,11,19,30,14,16,30,0,0,45,7.6,2,2,17,3,2,1,1,1,1,1,1,1,1,1,1,1,0.75,0.5,1,0,4,0.25,0.25,4,1,3,4,1,4,4,4,4,4,4,1,0,1,1,1,1,0,0.5,0,1,3,0.25,0.25,1,1,1,1,1,2,2,3,3,4,4,0,0,1,1,0,1,0,1,4,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,2,2,1,3
445,CERC444,Purzycki,Tyva Republic,0,132,1,10,20,30,12,18,30,0,0,28,-9.4,2,2,19,4,3,0,2,0,2,1,2,1,2,0.5,2,0,1,1,1,0,4,1,1,4,1,4,4,1,4,4,4,4,4,4,1,1,4,1,1,1,1,1,1,1,4,1,1,4,1,4,1,1,4,4,4,4,4,4,1,1,4,1,1,1,1,1,3,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,1,1,2
446,CERC445,Purzycki,Tyva Republic,0,321,0,19,11,30,15,15,30,0,1,27,-10.4,3,2,16,4,3,0,1,1,1,1,2,1,2,0.75,1.5,0,0.5,0,1,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,0,1,1
447,CERC446,Purzycki,Tyva Republic,0,132,1,14,16,30,17,13,30,0,1,30,-7.4,2,1,18,3,4,1,1,0,2,0,2,1,2,0.5,1.75,0,0.5,0.5,0.5,0,0,0,0,3,1,2,2,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,2.67,0.75,0.75,2,1,1,1,1,1,1,3,3,4,4,1,1,3,1,1,1,1,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1
448,CERC447,Purzycki,Tyva Republic,0,312,1,9,21,30,23,7,30,0,0,37,-0.4,2,4,16,6,3,0,2,0,2,0,2,1,2,0.25,2,0,1,1,1,0,4,1,1,4,1,4,4,1,4,4,4,4,4,4,1,1,4,1,1,1,1,1,1,1,4,1,1,4,1,4,4,1,2,4,4,4,4,4,1,1,4,1,1,1,1,1,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,1,1,4
449,CERC448,Purzycki,Tyva Republic,0,132,1,14,16,30,16,14,30,0,1,39,1.6,2,5,16,7,3,1,2,0,2,1,1,0,1,0.5,1.5,1,0.75,1,0.5,0,3.33,0.25,0.25,4,0,NA,4,1,4,2,2,4,4,4,1,1,1,0,1,1,1,0.5,0.5,0.5,3.33,0.25,0.25,4,0,NA,4,1,4,3,1,3,4,4,1,0,1,0,1,1,NA,0,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,1,1,0
450,CERC449,Purzycki,Tyva Republic,0,321,0,14,16,30,12,18,30,0,0,35,-2.4,2,3,16,6,4,0,2,0,2,0,2,1,2,0.25,2,1,0.75,1,0.5,0,4,1,1,4,1,2,4,1,4,4,3,4,4,4,1,1,4,0,1,1,1,0.75,1,0.5,4,1,1,4,1,4,4,1,4,4,4,4,4,4,1,1,4,0,1,1,1,1,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,1,0,1
451,CERC450,Purzycki,Tyva Republic,0,312,1,18,12,30,20,10,30,0,0,49,11.6,2,2,16,3,4,0,2,0,2,0,2,1,1,0.25,1.75,1,0.75,0.5,1,0,2.33,0,0,2,1,1,1,1,0,1,1,2,1,4,0,1,0,1,0,0,0,1,1,1,0,0.25,0.25,2,1,1,2,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,2
452,CERC451,Purzycki,Tyva Republic,0,123,1,19,11,30,19,11,30,0,0,34,-3.4,2,1,15,6,3,0,2,0,2,0,2,1,2,0.25,2,1,1,1,1,0,3,1,1,4,0,NA,1,1,4,3,1,3,4,3,1,1,4,1,0,0,0,1,1,1,2,0.25,0.25,2,1,1,0,1,1,2,1,2,1,2,1,1,1,1,0,0,0,1,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,1,1
453,CERC452,Purzycki,Tyva Republic,0,213,0,16,14,30,14,16,30,0,0,22,-15.4,2,2,15,4,3,0,1,1,1,0,2,1,1,0.5,1.25,1,1,1,1,0,3,0.5,0.5,3,0,NA,4,1,2,4,4,2,4,3,1,1,2,1,1,1,0,1,1,1,2.67,1,1,0,0,NA,1,1,2,3,3,2,4,3,1,1,4,1,1,1,1,0,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,1,1,3
454,CERC453,Purzycki,Tyva Republic,0,231,0,14,16,30,13,17,30,0,1,24,-13.4,2,2,14,4,3,0,2,0,2,0,2,1,2,0.25,2,1,1,1,1,0,3.33,1,1,4,0,NA,1,1,1,3,1,3,2,4,1,1,4,1,1,1,1,0.5,0.5,0.5,0.67,0.25,0.25,1,0,NA,0,1,1,0,0,0,1,2,0,1,1,0,1,1,1,1,5,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,0,1,1
455,CERC454,Purzycki,Tyva Republic,0,132,1,15,15,30,14,16,30,0,0,33,-4.4,2,2,20,4,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2.67,0,0,2,0,NA,0,0,0,3,0,1,4,4,0,0,0,0,0,0,0,1,1,1,1.33,0,0,0,0,NA,0,1,0,1,0,0,4,3,1,NA,0,1,0,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1
456,CERC455,Purzycki,Tyva Republic,0,321,0,13,17,30,17,13,30,0,1,58,20.6,2,5,19,3,4,0,2,0,2,0,2,1,2,0.25,2,1,1,1,1,0,4,1,1,4,1,3,4,1,4,4,4,4,4,4,1,1,4,1,1,1,1,1,1,1,4,1,1,4,1,1,4,1,4,4,4,4,4,4,1,1,4,1,1,1,1,0,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,1,2,1
457,CERC456,Purzycki,Tyva Republic,0,312,1,12,18,30,19,11,30,0,0,28,-9.4,1,0,16,4,2,1,1,1,1,0,1,1,1,0.75,1,0,0.75,1,0.5,0,0,1,1,2,NA,NA,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0,0.75,1,0.5,0.33,1,1,1,1,1,0,1,0,0,0,0,4,1,1,1,4,0,0,0,0,1,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,0,4
458,CERC457,Purzycki,Tyva Republic,0,213,0,12,18,30,13,17,30,0,1,27,-10.4,2,1,13,3,1,0,1,0,2,0,2,1,2,0.25,1.75,1,1,1,1,0,3,0.25,0.25,2,1,2,0,1,4,3,0,2,4,4,1,1,1,1,1,1,1,1,1,1,3.33,1,1,1,1,3,4,1,1,3,2,3,4,4,1,1,4,1,1,1,1,0,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,1,2
459,CERC458,Purzycki,Tyva Republic,0,132,1,14,16,30,19,11,30,0,0,51,13.6,2,2,15,2,3,0,1,0,1,0,1,1,1,0.25,1,1,1,1,1,0,4,1,1,3,1,3,4,1,4,4,4,4,4,4,1,1,4,1,1,0,1,0.25,0,0.5,4,1,1,4,1,4,3,1,3,4,4,4,4,4,0,0,4,0,0,0,1,0,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,1,1,3
460,CERC459,Purzycki,Tyva Republic,0,123,1,18,12,30,14,16,30,0,0,22,-15.4,2,1,15,5,3,0,1,0,1,0,1,0,-1,0,0.5,0,1,1,1,0,4,0.75,0.75,4,1,3,2,1,3,4,4,4,3,4,1,1,3,1,1,1,1,0.75,1,0.5,3.67,0.5,0.5,4,1,2,2,1,3,4,4,3,2,4,1,1,2,0,0,0,1,0,5,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,1,0,2
461,CERC460,Purzycki,Tyva Republic,0,321,0,12,18,30,18,12,30,0,0,48,10.6,5,2,20,2,4,0,1,1,1,0,1,0,1,0.25,1,1,0.75,1,0.5,0,2.67,0.5,0.5,2,0,NA,1,0,1,2,2,2,2,4,1,1,2,1,1,1,0,1,1,1,1.33,0.5,0.5,1,1,1,1,1,1,2,0,0,2,2,1,1,2,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,0,1,1
